교과목명,강의시간,실험실습시간,분반,수강정원,강의실,시작시간
C프로그래밍Ⅰ,2,2,01,25,지능형 영상처리 실습실-지능형 영상처리 실습실,월9 화9
C프로그래밍Ⅰ,2,2,02,25,지능형 영상처리 실습실-지능형 영상처리 실습실,월11 화11
C프로그래밍Ⅰ,2,2,03,35,가상현실 실습실-네트워크 시스템 실습실,월9 수11
C프로그래밍Ⅰ,2,2,04,35,가상현실 실습실-네트워크 시스템 실습실,월11 수13
C프로그래밍Ⅰ,2,2,05,35,가상현실 실습실-네트워크 시스템 실습실,월13 수15
컴퓨터공학입문,2,2,01,40,가상현실 실습실-네트워크 시스템 실습실,월15 목9
컴퓨터공학입문,2,2,02,40,가상현실 실습실-네트워크 시스템 실습실,화9 목11
컴퓨터공학입문,2,2,03,40,가상현실 실습실-네트워크 시스템 실습실,화11 목13
컴퓨터공학입문,2,2,04,40,가상현실 실습실-네트워크 시스템 실습실,화13 목15
C++프로그래밍,2,2,01,35,가상현실 실습실-네트워크 시스템 실습실,화15 금9
C++프로그래밍,2,2,02,35,가상현실 실습실-네트워크 시스템 실습실,수9 금11
C++프로그래밍,2,2,03,35,가상현실 실습실-네트워크 시스템 실습실,수11 금13
C++프로그래밍,2,2,04,35,가상현실 실습실-네트워크 시스템 실습실,수13 금15
디지털공학 및 실습,2,2,01,40,가상현실 실습실-공학설계 실습실,수15 월9
디지털공학 및 실습,2,2,02,40,가상현실 실습실-공학설계 실습실,목9 월11
디지털공학 및 실습,2,2,03,40,가상현실 실습실-공학설계 실습실,목11 월13
디지털공학 및 실습,2,2,04,40,가상현실 실습실-공학설계 실습실,목13 월15
마이크로프로세서및실습,2,2,01,35,가상현실 실습실-공학설계 실습실,목15 화9
자료구조및실습,2,2,01,35,가상현실 실습실-공학설계 실습실,금9 화11
컴퓨터시스템기초설계,2,2,01,40,가상현실 실습실-공학설계 실습실,금11 화13
컴퓨터시스템기초설계,2,2,02,40,가상현실 실습실-공학설계 실습실,금13 화15
컴퓨터시스템기초설계,2,2,03,40,가상현실 실습실-공학설계 실습실,금15 수9
컴퓨터시스템기초설계,2,2,04,40,지능형 S/W 실습실-공학설계 실습실,월9 수11
공학설계Ⅰ(캡스톤디자인),1,2,01,200,X,수14
데이터베이스설계,2,2,01,28,지능형 S/W 실습실-공학설계 실습실,월11 수13
데이터베이스설계,2,2,02,28,지능형 S/W 실습실-공학설계 실습실,월13 수15
디지털신호처리및실습,2,2,01,35,지능형 S/W 실습실-공학설계 실습실,월15 목9
알고리즘및실습,2,2,01,40,지능형 S/W 실습실-공학설계 실습실,화9 목11
알고리즘및실습,2,2,02,40,지능형 S/W 실습실-공학설계 실습실,화11 목13
알고리즘및실습,2,2,03,40,지능형 S/W 실습실-공학설계 실습실,화13 목15
알고리즘및실습,2,2,04,40,지능형 S/W 실습실-공학설계 실습실,화15 금9
운영체제,3,0,01,40,지능형 S/W 실습실,수9
운영체제,3,0,02,40,지능형 S/W 실습실,수13
운영체제,3,0,03,40,지능형 S/W 실습실,목9
운영체제,3,0,04,40,지능형 S/W 실습실,목13
웹프로그래밍(창업),2,2,01,35,지능형 S/W 실습실-모바일 프로그래밍 실습실,금9 월9
웹프로그래밍(창업),2,2,02,35,지능형 S/W 실습실-모바일 프로그래밍 실습실,금11 월11
컴퓨터구조,3,0,01,40,지능형 S/W 실습실,금13
컴퓨터구조,3,0,02,40,프로그래밍 실습실,월9
컴퓨터구조,3,0,03,40,프로그래밍 실습실,월13
컴퓨터구조,3,0,04,40,프로그래밍 실습실,화9
컴퓨터네트워크,3,0,01,40,프로그래밍 실습실,화13
컴퓨터네트워크,3,0,02,40,프로그래밍 실습실,수9
컴퓨터네트워크,3,0,03,40,프로그래밍 실습실,수13
컴퓨터네트워크,3,0,04,40,프로그래밍 실습실,목9
공학설계Ⅱ(캡스톤디자인),1,2,01,50,X,수14
IoT개론및실습,2,2,01,35,프로그래밍 실습실-공학설계 실습실,목13 금11
가상증강현실및실습,2,2,01,35,프로그래밍 실습실-공학설계 실습실,목15 금13
네트워크프로그래밍,2,2,01,35,프로그래밍 실습실-모바일 프로그래밍 실습실,금9 월13
멀티코어프로그래밍,2,2,01,30,프로그래밍 실습실-모바일 프로그래밍 실습실,금11 월15
모바일 시스템 프로그래밍,2,2,01,35,프로그래밍 실습실-모바일 프로그래밍 실습실,금13 화9
산업체취·창업특강,1,0,01,80,이론 강의실6,월9
스마트IoT응용및실습,2,2,01,40,프로그래밍 실습실-모바일 프로그래밍 실습실,금15 화11
인공지능,3,0,01,35,네트워크 시스템 실습실,월9
정보보호개론,3,0,01,60,이론 강의실6,월10
졸업설계Ⅰ(캡스톤디자인),1,4,01,200,X,수14
졸업설계Ⅱ(캡스톤디자인),1,4,01,50,X,수14
지능형인터페이스및실습,2,2,01,35,네트워크 시스템 실습실-공학설계 실습실,월13 금15
컴파일러및실습,2,2,01,32,네트워크 시스템 실습실-모바일 프로그래밍 실습실,월15 화13
컴퓨터비젼및실습,2,2,01,35,네트워크 시스템 실습실-모바일 프로그래밍 실습실,화9 수9
C프로그래밍Ⅱ,2,2,01,35,네트워크 시스템 실습실-모바일 프로그래밍 실습실,화11 수11
기초전기전자및실습,2,2,01,35,네트워크 시스템 실습실-모바일 프로그래밍 실습실,화13 수13
자바프로그래밍,2,2,01,35,네트워크 시스템 실습실-모바일 프로그래밍 실습실,화15 수15
창의적공학설계(AD),2,2,01,35,네트워크 시스템 실습실-모바일 프로그래밍 실습실,수9 화15
